YEAR,Rk,Team,Conf,W,L,WinLoss,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,ThreeProp,TrueShoot,EffFG,TOP,ORBP,FTvsFGA,eFG%,TOV%,DRBP,FT/FGA,Arena,TotalAttend,AttendperG
2003,8,Indiana Pacers,E,48,34,0.585,3.49,105.28,101.55,3.74,2.79,104.96,101.98,2.98,25.9,51,31,-0.7,2.79,104.6,100.8,91.6,0.344,0.169,0.522,0.469,13.7,29,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,"670,461","16,353"
2003,26,Miami Heat,E,25,57,0.305,-5.05,97.53,103.31,-5.78,-5.13,97.37,103.23,-5.87,26.5,25,57,-0.08,-5.13,96.7,102.4,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,"628,242","15,323"
2003,15,Seattle SuperSonics,W,40,42,0.488,-0.12,104.48,104.63,-0.14,0.37,104.64,104.25,0.4,26.9,41,41,0.49,0.37,103.7,103.9,88,0.27,0.196,0.512,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,"637,194","15,541"
2003,17,Orlando Magic,E,42,40,0.512,0.13,105.84,105.72,0.12,-0.39,105.75,106.2,-0.45,26.9,41,41,-0.53,-0.39,105.2,105,93.1,0.307,0.235,0.526,0.478,13.3,27,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,"605,901","14,778"
2003,19,Boston Celtics,E,44,38,0.537,-0.39,101.9,102.33,-0.43,-0.75,101.78,102.59,-0.81,26.9,40,42,-0.36,-0.75,101.2,101.6,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,"709,049","17,294"
2003,24,Atlanta Hawks,E,35,47,0.427,-3.56,103.1,106.96,-3.86,-3.87,103.07,107.27,-4.19,27.2,31,51,-0.31,-3.87,102.3,106.1,91,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,"528,655","12,894"
2003,4,New Jersey Nets,E,49,33,0.598,5.22,104.42,98.8,5.62,4.42,103.93,99.18,4.75,27.3,56,26,-0.8,4.42,103.8,98.1,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,"622,574","15,185"
2003,27,Toronto Raptors,E,24,58,0.293,-5.87,101.37,107.99,-6.62,-6.09,101.36,108.21,-6.85,27.6,24,58,-0.23,-6.1,100.5,107,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,"777,507","18,964"
2003,9,Los Angeles Lakers,W,50,32,0.61,2.33,107.96,105.55,2.41,2.71,108.18,105.35,2.83,28.1,48,34,0.38,2.71,107.2,104.7,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,STAPLES Center,"777,888","18,973"
2003,1,Dallas Mavericks,W,60,22,0.732,7.78,111.43,102.89,8.54,7.91,111.52,102.85,8.67,28.1,62,20,0.12,7.9,110.7,102.3,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,"816,429","19,913"
